House_Type,Family_Members,Number_of_Rooms,Daily_Appliance_Usage_Count,AC_Usage_Hours,Fan_Usage_Hours,Refrigerator_Usage_Hours,Washing_Machine_Usage_Hours,Water_Motor_Usage_Hours,Lighting_Hours,Outdoor_Temperature_C,Day_of_Week,Season,Is_Holiday,Daily_Electricity_Consumption_kWh
Apartment,3,2,6,7.15,12.3,24,0.0,1.45,4.92,45.9,Thursday,Summer,0,15.61
Apartment,6,2,9,6.8,11.84,24,0.0,1.05,4.78,,Thursday,Summer,0,17.31
Independent House,3,5,8,5.63,7.34,24,0.84,1.36,6.67,40.6,Thursday,Summer,0,15.74
Independent House,1,5,6,1.32,3.34,24,0.0,1.55,8.32,11.0,Monday,Winter,0,7.3
Apartment,4,4,6,1.33,10.85,24,0.68,1.11,4.17,16.1,Thursday,Spring/Autumn,0,7.82
Apartment,6,4,12,0.09,0.73,24,0.0,0.86,5.7,14.1,Friday,Winter,0,5.32
Independent House,6,3,9,4.97,8.27,24,0.0,1.04,6.09,40.1,Sunday,Summer,1,14.57
Apartment,3,3,7,0.06,2.97,24,1.91,2.08,5.0,10.9,Saturday,Winter,1,7.88
Villa,2,9,14,3.25,8.78,24,3.0,2.49,6.88,20.2,Saturday,Spring/Autumn,1,15.92
Apartment,2,2,12,11.24,12.07,24,2.74,1.71,6.45,,Saturday,Summer,1,24.4
Apartment,1,4,9,0.65,1.88,24,0.74,1.97,5.78,3.7,Monday,Winter,0,6.64
Independent House,5,4,4,3.74,5.03,24,0.0,1.59,5.14,23.8,Wednesday,Spring/Autumn,0,12.78
Apartment,2,2,9,0.82,2.97,24,0.53,1.49,7.99,9.6,Sunday,Winter,1,7.12
Villa,5,8,7,0.0,5.22,24,1.06,1.88,5.46,19.4,Sunday,Spring/Autumn,1,7.89
Independent House,5,4,5,0.53,8.42,24,0.0,1.6,5.87,19.7,Sunday,Spring/Autumn,1,8.26
Independent House,4,6,5,0.04,3.62,24,1.19,1.58,5.47,18.7,Wednesday,Winter,0,6.49
Villa,7,7,12,2.07,1.9,24,,2.3,7.41,16.5,Monday,Winter,0,13.65
Apartment,4,3,8,5.37,9.8,24,0.0,1.05,6.5,40.2,Tuesday,Summer,0,14.14
Villa,7,7,13,0.87,0.95,24,0.59,1.6,5.63,15.8,Tuesday,Winter,0,9.14
Independent House,1,5,14,0.0,3.53,24,2.34,2.72,6.12,6.4,Tuesday,Winter,0,7.47
Apartment,3,2,9,7.58,5.49,24,0.0,1.37,4.82,34.9,Sunday,Summer,1,16.5
Villa,4,8,10,8.17,9.74,24,0.0,2.09,7.51,42.2,Wednesday,Summer,0,20.83
Apartment,6,2,6,3.93,6.15,24,0.0,1.13,4.93,26.5,Friday,Spring/Autumn,0,12.57
Villa,4,7,5,8.79,11.8,24,0.5,2.54,5.59,36.2,Tuesday,Summer,0,20.16
Independent House,2,6,10,0.58,0.54,24,0.0,1.93,6.06,17.0,Thursday,Winter,0,6.66
Apartment,4,3,10,11.56,7.75,24,0.6,0.87,7.87,38.6,Saturday,Summer,1,28.54
Apartment,4,2,4,5.34,8.01,24,0.64,1.59,4.53,40.2,Thursday,Summer,0,15.51
Apartment,2,4,8,8.09,11.1,24,0.0,1.27,7.26,39.9,Friday,Summer,0,18.49
Villa,6,8,8,1.38,0.97,24,0.0,2.18,6.25,17.1,Friday,Winter,0,10.15
Apartment,5,4,11,5.08,5.29,24,0.72,1.45,6.07,22.9,Thursday,Spring/Autumn,0,15.33
Independent House,5,4,5,4.26,0.7,24,0.0,1.95,5.75,23.0,Wednesday,Spring/Autumn,0,12.13
Apartment,3,2,10,10.09,12.99,24,0.0,1.37,5.37,41.9,Sunday,Summer,1,20.8
Independent House,6,5,11,7.19,11.75,24,0.87,1.54,4.18,37.4,Saturday,Summer,1,21.1
Villa,1,9,13,0.0,0.73,24,0.59,2.52,,13.1,Saturday,Winter,1,7.79
Apartment,7,2,11,7.16,10.95,24,2.2,0.96,3.97,31.7,Friday,Summer,0,18.65
Villa,7,9,10,5.12,11.76,24,0.0,1.13,6.74,34.2,Wednesday,Summer,0,16.59
Apartment,5,4,10,6.69,13.62,24,0.0,0.89,9.01,44.4,Sunday,Summer,1,17.68
Independent House,6,5,11,0.78,8.43,24,0.54,1.43,8.19,27.4,Thursday,Spring/Autumn,0,8.52
Independent House,3,6,12,1.56,5.51,24,0.0,1.17,8.78,8.4,Thursday,Winter,0,8.9
Apartment,4,3,8,2.05,8.92,24,1.78,1.15,6.21,22.3,Friday,Spring/Autumn,0,10.6
Independent House,1,6,11,4.0,9.98,24,0.85,1.81,6.4,40.2,Wednesday,Summer,0,13.54
Apartment,7,3,10,1.13,8.87,24,0.51,0.2,6.9,24.4,Sunday,Spring/Autumn,1,8.33
Independent House,6,6,11,1.32,1.1,24,0.0,0.73,6.21,12.4,Friday,Winter,0,8.77
Apartment,3,4,8,9.1,13.03,24,0.67,1.56,5.22,39.0,Sunday,Summer,1,20.44
Independent House,3,4,8,1.9,7.28,24,1.79,0.84,6.19,23.2,Sunday,Spring/Autumn,1,10.22
Independent House,3,5,9,2.17,5.21,24,0.64,2.2,4.0,19.4,Tuesday,Spring/Autumn,0,10.55
Apartment,6,3,8,4.61,11.87,24,0.0,1.05,5.72,39.8,Tuesday,Summer,0,13.6
Independent House,3,3,8,4.2,13.03,24,3.0,1.98,5.01,32.1,Wednesday,Summer,0,14.38
Apartment,3,3,13,6.55,11.91,24,0.0,1.27,2.95,37.4,Saturday,Summer,1,14.63
Apartment,4,4,8,2.61,8.83,24,0.0,0.96,6.76,24.8,Tuesday,Spring/Autumn,0,9.96
Villa,4,8,9,1.44,5.16,24,0.0,1.65,8.6,27.8,Saturday,Spring/Autumn,1,10.16
Apartment,6,4,12,0.33,1.22,24,2.56,1.32,5.65,13.6,Sunday,Winter,1,8.49
Apartment,2,4,14,8.05,11.62,24,1.06,1.1,5.55,39.7,Friday,Summer,0,18.46
Independent House,1,3,11,2.64,7.0,24,0.9,1.32,7.04,23.8,Wednesday,Spring/Autumn,0,8.18
Apartment,5,2,9,1.26,2.12,24,1.08,0.47,4.87,6.0,Saturday,Winter,1,8.26
Apartment,4,2,4,9.78,10.43,24,0.91,2.05,5.5,34.4,Saturday,Summer,1,22.58
Independent House,1,6,14,9.29,13.18,24,1.16,1.32,6.09,46.0,Saturday,Summer,1,21.54
Villa,7,8,8,6.61,10.3,24,0.0,1.84,7.93,37.4,Sunday,Summer,1,21.41
Independent House,5,5,13,5.67,10.22,24,0.0,0.73,5.51,36.0,Friday,Summer,0,14.81
Apartment,5,2,4,2.45,4.73,24,0.94,1.37,5.69,25.4,Monday,Spring/Autumn,0,10.91
Apartment,7,2,10,0.0,1.2,24,0.91,0.89,5.3,13.2,Monday,Winter,0,6.29
Apartment,7,4,8,9.92,11.29,24,2.27,1.48,4.39,39.9,Wednesday,Summer,0,27.21
Apartment,2,2,7,9.52,10.36,24,2.23,1.27,5.19,42.0,Wednesday,Summer,0,19.81
Apartment,6,3,10,0.75,2.6,24,0.0,0.91,5.71,19.1,Sunday,Winter,1,7.04
Independent House,6,6,9,0.99,2.44,24,0.0,0.6,6.26,11.8,Sunday,Winter,1,8.29
Apartment,2,3,7,1.86,5.73,24,0.0,1.51,5.3,22.0,Saturday,Spring/Autumn,1,9.12
Independent House,4,3,9,0.0,1.72,24,0.0,0.39,7.22,7.0,Friday,Winter,0,4.67
Independent House,2,3,14,0.0,2.74,24,1.15,1.66,7.4,12.1,Thursday,Winter,0,6.09
Apartment,2,3,5,8.31,12.15,24,0.96,1.09,7.57,37.3,Sunday,Summer,1,18.02
Villa,3,6,4,2.17,3.32,24,1.06,1.23,7.62,12.6,Tuesday,Winter,0,9.87
Villa,7,6,10,0.0,1.63,24,0.0,1.46,8.36,11.0,Wednesday,Winter,0,7.07
Villa,2,8,8,6.8,11.15,24,0.0,0.91,5.78,37.9,Saturday,Summer,1,15.3
Villa,6,7,12,7.25,12.14,24,0.0,1.89,4.47,37.6,Sunday,Summer,1,19.72
Independent House,2,4,7,3.99,6.9,24,0.0,1.36,3.52,,Monday,Spring/Autumn,0,10.69
Independent House,1,3,12,1.14,2.25,24,0.0,2.6,8.08,10.3,Thursday,Winter,0,7.08
Independent House,2,6,9,5.98,10.6,24,0.0,1.21,7.7,37.0,Monday,Summer,0,16.08
Apartment,4,3,10,2.83,6.09,24,0.0,2.15,7.11,24.5,Wednesday,Spring/Autumn,0,10.85
Apartment,1,2,13,2.96,4.75,24,0.68,1.24,,22.9,Saturday,Spring/Autumn,1,44.17412508116951
Villa,6,6,7,5.84,14.22,24,1.04,2.3,6.31,33.9,Wednesday,Summer,0,18.95
Apartment,2,3,6,1.55,6.49,24,0.0,1.07,8.32,22.2,Thursday,Spring/Autumn,0,7.6
Independent House,3,4,5,0.21,5.08,24,1.08,1.24,4.28,15.0,Thursday,Winter,0,5.84
Apartment,4,3,4,10.35,7.08,24,0.0,1.9,6.37,36.1,Tuesday,Summer,0,23.35
Apartment,7,2,13,1.82,1.81,24,0.88,0.97,7.06,18.2,Friday,Winter,0,10.39
Apartment,3,2,5,0.0,2.22,24,0.0,1.87,4.8,12.8,Friday,Winter,0,5.34
Independent House,6,6,9,3.54,6.86,24,1.07,1.82,5.02,16.5,Monday,Spring/Autumn,0,14.22
Villa,3,9,5,1.04,6.14,24,0.0,1.36,7.79,23.0,Saturday,Spring/Autumn,1,9.63
Villa,4,7,9,0.72,4.99,24,0.88,2.28,4.94,18.6,Wednesday,Spring/Autumn,0,8.35
Independent House,7,5,10,3.33,13.21,24,0.0,0.97,7.8,33.9,Thursday,Summer,0,13.91
Apartment,2,2,12,0.52,2.46,24,0.0,0.39,5.26,0.6,Thursday,Winter,0,4.9
Apartment,6,3,13,7.84,8.59,24,0.98,1.27,6.15,44.7,Thursday,Summer,0,17.74
Independent House,5,4,5,9.7,7.11,24,0.5,0.25,5.77,38.0,Saturday,Summer,1,23.66
Independent House,2,5,4,1.57,6.42,24,0.0,1.13,,23.1,Sunday,Spring/Autumn,1,8.4
Apartment,5,4,9,1.61,1.39,24,0.0,1.09,6.13,13.7,Sunday,Winter,1,9.17
Apartment,2,3,7,0.0,0.52,24,0.0,1.18,4.23,3.9,Saturday,Winter,1,5.24
Independent House,7,3,6,4.04,6.26,24,0.0,2.08,6.76,24.3,Thursday,Spring/Autumn,0,14.52
Independent House,2,5,13,7.74,8.56,24,0.0,1.43,4.41,32.7,Sunday,Summer,1,18.43
Apartment,2,2,9,2.43,1.27,24,1.1,1.23,5.81,15.5,Monday,Winter,1,9.54
Apartment,5,2,6,1.12,2.17,24,1.12,1.13,,12.6,Thursday,Winter,0,7.52
Independent House,4,6,6,9.31,9.97,24,0.97,2.03,7.68,34.5,Friday,Summer,0,23.28
Independent House,2,4,9,2.02,8.12,24,0.0,2.01,6.61,25.6,Friday,Spring/Autumn,0,8.2
Apartment,6,4,10,10.26,13.64,24,0.63,1.2,6.96,37.2,Saturday,Summer,1,26.92
Independent House,1,4,5,9.14,9.46,24,0.83,1.09,6.55,37.2,Saturday,Summer,1,19.28
Apartment,1,3,7,2.06,5.46,24,0.0,1.26,7.28,20.5,Tuesday,Spring/Autumn,0,7.96
Villa,5,7,6,0.24,3.85,24,0.0,1.12,7.6,33.8,Tuesday,Spring/Autumn,1,8.34
Apartment,3,4,7,0.0,3.4,24,0.0,1.23,3.83,23.9,Monday,Spring/Autumn,1,5.5
Apartment,7,2,14,0.0,8.55,24,0.0,0.95,3.16,24.9,Monday,Spring/Autumn,0,6.42
Apartment,3,4,12,2.56,2.72,24,0.0,1.13,4.9,28.7,Wednesday,Spring/Autumn,0,9.17
Villa,1,7,13,4.74,11.94,24,0.0,2.14,4.54,31.9,Monday,Summer,0,11.73
Apartment,5,2,5,3.07,6.53,24,0.73,2.15,6.26,35.6,Tuesday,Summer,0,11.11
Apartment,3,2,8,4.11,5.29,24,3.0,0.77,5.33,30.5,Sunday,Spring/Autumn,1,12.2
Independent House,5,6,11,1.23,4.23,24,0.0,2.28,6.95,16.7,Wednesday,Spring/Autumn,0,9.42
Independent House,5,6,13,6.46,9.79,24,0.63,2.45,6.29,38.1,Tuesday,Summer,0,17.04
Villa,2,9,7,0.32,1.09,24,0.0,0.8,7.43,9.5,Wednesday,Winter,0,6.74
Independent House,3,5,9,0.38,3.34,24,2.33,1.49,6.96,25.8,Thursday,Spring/Autumn,0,7.25
Apartment,3,2,6,0.61,1.51,24,0.0,1.6,5.05,17.8,Saturday,Winter,1,6.0
Independent House,1,3,5,2.55,7.94,24,0.0,2.1,6.46,22.9,Saturday,Spring/Autumn,1,10.11
Apartment,7,3,12,0.85,6.9,24,0.0,1.16,7.22,26.7,Thursday,Spring/Autumn,0,8.1
Apartment,7,2,7,1.47,4.08,24,1.08,1.7,5.43,15.9,Friday,Winter,0,9.59
Independent House,6,4,12,0.15,5.59,24,1.05,1.01,6.85,25.8,Tuesday,Spring/Autumn,0,7.46
Apartment,5,3,5,7.46,8.38,24,0.57,1.05,3.68,43.9,Sunday,Summer,1,19.24
Apartment,7,3,9,7.23,11.11,24,,0.58,7.53,39.7,Friday,Summer,1,19.2
Apartment,3,3,4,5.48,9.18,24,1.17,0.59,7.6,37.3,Monday,Summer,0,14.27
Independent House,6,5,6,5.14,5.43,24,0.0,1.11,5.22,31.7,Tuesday,Summer,0,14.99
Villa,5,9,7,4.94,7.84,24,1.0,2.09,,36.4,Tuesday,Summer,0,18.24
Villa,2,9,11,8.21,10.34,24,0.94,1.44,5.69,38.6,Thursday,Summer,0,18.81
Apartment,2,2,5,1.25,3.96,24,0.59,1.55,2.83,25.8,Wednesday,Spring/Autumn,0,6.85
Apartment,6,2,9,0.76,7.41,24,0.55,0.82,8.3,22.6,Wednesday,Spring/Autumn,0,7.59
Apartment,5,4,5,3.44,5.91,24,0.97,1.23,6.23,19.0,Tuesday,Spring/Autumn,0,11.34
Apartment,6,2,13,7.72,7.46,24,2.12,0.98,6.43,,Thursday,Summer,1,20.3
Apartment,5,4,4,0.77,4.04,24,0.0,1.41,6.88,10.4,Tuesday,Winter,0,6.71
Apartment,4,2,10,8.08,10.4,24,0.86,1.82,5.67,39.2,Saturday,Summer,1,20.54
Apartment,5,3,14,2.19,4.99,24,0.0,1.89,5.86,20.3,Monday,Spring/Autumn,0,11.53
Apartment,1,4,10,6.77,7.25,24,0.96,1.88,4.08,40.1,Monday,Summer,0,15.38
Apartment,6,4,13,0.0,9.74,24,0.0,1.59,7.72,17.7,Wednesday,Spring/Autumn,0,7.15
Apartment,4,3,9,9.1,9.29,24,0.0,1.51,3.94,32.4,Sunday,Summer,1,20.81
Apartment,6,3,13,0.32,6.11,24,0.0,0.51,6.68,27.1,Thursday,Spring/Autumn,1,6.48
Apartment,5,3,14,1.27,8.86,24,0.89,0.99,6.2,28.9,Wednesday,Spring/Autumn,0,8.8
Villa,3,9,5,1.04,6.14,24,0.0,1.36,7.79,23.0,Saturday,Spring/Autumn,1,9.63
Apartment,6,4,10,0.0,4.89,24,0.58,1.39,7.59,25.1,Tuesday,Spring/Autumn,0,6.72
Independent House,5,5,4,3.35,7.69,24,0.0,1.33,10.42,25.5,Wednesday,Spring/Autumn,0,12.64
Apartment,6,4,6,1.4,5.59,24,0.91,1.4,6.42,20.9,Tuesday,Spring/Autumn,0,9.53
Villa,4,7,9,1.75,3.78,24,0.0,2.21,8.63,18.0,Thursday,Winter,0,10.74
